SMILES,Formula,Exact_Mol_Wt,Iso_Wts,Mult
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C4([H])C3([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",0
[C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])C3([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]23C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C=O,C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C3([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])[C@@]1(C=O)C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
[C@]12C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C12[H],C18H27O2,275.20110510400053,"275.20110511169, 276.20445994689004, 277.20781478209",1
C([H])([H])[H],CH3,15.023475095999999,"15.02347509681, 16.02682993201",1
C1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C2([H])C1([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
[C@@]1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C4([H])C3([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],C19H29O,273.2218405480005,"273.22184055603003, 274.22519539123005, 275.22855022643",1
O[H],HO,17.002739652,17.002739652469998,1
C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])O[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",1
